Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Dusk Till Dawn (Lofi Chillhop)","Lofi Night Drives","Dusk Till Dawn (Lofi Chillhop)","Spotgram ","Playlist","TCAFM2111328","0lNHIEj2rFtfXLCDHr4l5C"
"Tum Kyu Chale Aate Ho (LoFi Mix)","Addy","Tum Kyu Chale Aate Ho (LoFi Mix)","Spotgram ","Playlist","QZHNA2186928","0yJ1vXLwRjSzeU2WeZoxi7"
"Maahi (Lofi)","JalRaj","Maahi (Lofi)","Spotgram ","Playlist","GX38U2232873","5IvV6X170dmEZCCbmNH4eQ"
"Faaslon Mein","Sachet Tandon","Baaghi 3","Cry bich cry","Playlist","INS182000664","4EGhULsw2QC2IvmUPtmsTB"
"Dua Karo (From ""Street Dancer 3D"")","Sachin-Jigar","Dua Karo (From ""Street Dancer 3D"")","Cry bich cry","Playlist","INS182000058","5zEx8v8GJKoTx55zGeq8me"
"Dilbara","Sachet Tandon","Dilbara (From ""Pati Patni Aur Woh"")","Cry bich cry","Playlist","INS181905607","0p83RJy9EZ0hlg82xcXH7f"
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","Mithoon","Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","Cry bich cry","Playlist","INS182000074","2U0BLmYoSESYOdwMxW2yA9"
"Judaai (From ""Badlapur)","Rekha Bhardwaj","Badlapur (Original Motion Picture Soundtrack)","Cry bich cry","Playlist","GBSGZ1500294","1eZ9Kq8voa1bnJi3dZD8M1"
"Channa Mereya (From ""Ae Dil Hai Mushkil"")","Pritam","Channa Mereya (From ""Ae Dil Hai Mushkil"")","Cry bich cry","Playlist","INS171602370","1plFCZ6QFAjSRutT02GTCn"
"Mann Bharryaa 2.0 (From ""Shershaah"")","B Praak","Mann Bharryaa 2.0 (From ""Shershaah"")","Cry bich cry","Playlist","INS172102779","3jf5303mzzJ96O8xFTcEn4"
"Main Dhoondne Ko Zamaane Mein","Arijit Singh","Heartless","Cry bich cry","Playlist","INS181306923","75p6BrziB5urmwPCeXl3y7"
"Bewafa","Imran Khan","Bewafa","Cry bich cry","Playlist","GBRCG0900013","4FcknXDJ8yW2QYUl0cm6uJ"
"Kun Faya Kun","A.R. Rahman","Rockstar","Cry bich cry","Playlist","INS181103501","7F8RNvTQlvbeBLeenycvN6"
"Before You Go","Lewis Capaldi","Before You Go","Cry bich cry","Playlist","DEUM71905868","7ce20yLkzuXXLUhzIDoZih"
"Love In The Dark","Adele","25","Cry bich cry","Playlist","GBBKS1500221","0DuWDLjriRPjDRoPgaCslY"
"drivers license","Olivia Rodrigo","drivers license","Cry bich cry","Playlist","USUG12004749","7lPN2DXiMsVn7XUKtOW1CS"
"God Must Hate Me","Catie Turner","God Must Hate Me","Cry bich cry","Playlist","USAT22107483","21xzFXSL2XkZ2mIzDDAqTK"
"Let Me Down Slowly (feat. Alessia Cara)","Alec Benjamin","Let Me Down Slowly (feat. Alessia Cara)","Cry bich cry","Playlist","USAT21813026","1roCmBlcpV7LzsmB7pmCyt"
"you broke me first","Tate McRae","you broke me first","Cry bich cry","Playlist","USRC12000832","45bE4HXI0AwGZXfZtMp8JR"
"Falling","Harry Styles","Fine Line","Cry bich cry","Playlist","USSM11912590","1ZMiCix7XSAbfAJlEZWMCp"
"Train Wreck","James Arthur","Back from the Edge","Cry bich cry","Playlist","DEE861600590","55Am8neGJkdj2ADaM3aw5H"
"Love Is Gone - Acoustic","SLANDER","Love Is Gone (Acoustic)","Cry bich cry","Playlist","CA5KR1969481","7F1CiKqrY44kh5cDqwHOnx"
"Let Me Down Slowly","Alec Benjamin","Narrated For You","Cry bich cry","Playlist","USAT21802284","2qxmye6gAegTMjLKEBoR3d"
"Jo Tu Na Mila","Asim Azhar","Jo Tu Na Mila","Cry bich cry","Playlist","INUM71800036","6DefzsWqnwrFrmNVnJxWkS"
"Older","Sasha Alex Sloan","Older","Cry bich cry","Playlist","USRC11803527","52iLDrSoRtf9lcgFuLVfqE"
"Hislerim","Serhat Durmus","Hislerim","BGM","Playlist","TCADT1883474","32Mh7kOCWmNTZgre0cGvCV"
"La Câlin","Serhat Durmus","La Câlin","BGM","Playlist","TCADI1715361","2nLeVfLE8t3hzHhXkZ6Ez2"
"Fearless Pt. II","Lost Sky","Fearless Pt. II","BGM","Playlist","GB2LD1700381","4VZH6OfxPy1nNE7KbtVKyK"
"Habibi - Slowed","Latverzyla","Habibi (Slowed)","BGM","Playlist","QZMEN2135691","0auPD2e0wzNAHXt46QeZv9"
"Wahran","RANDALL","Wahran","BGM","Playlist","NLZ541900320","7xlrdBdz8TGSo0COvLHymc"
"это ли счастье?","Rauf & Faik","это ли счастье?","BGM","Playlist","RUA582102775","4KGq63QyNHWz44M5S6PWGo"
"Where Are You","Otnicka","Where Are You","BGM","Playlist","TCAEW2029871","7tanqB2ACecyj7AKjp5Cjq"
"Kosandra - Remix","Maikkis","Kosandra","BGM","Playlist","CA5KR2032248","2xy57NLEmzuQQeBRORdaOq"
"Da Da Da - Jarico Remix","Tanir & Tyomcha","Da Da Da (Jarico Remix)","BGM","Playlist","FR96X1987484","7MAS0yiC3a4YX2gatvkEuK"
"Polozhenie","Zedline","Polozhenie","BGM","Playlist","QZHN52145716","32BqOOkyjc1xTzTm5y0Dnv"
"Иса","ANDRO","MOON FLAME","BGM","Playlist","RUA582103196","0pPMSxTHDxROblb7yID8Ar"
"Love Your Voice","JONY","Список твоих мыслей","BGM","Playlist","RUA582102963","4hyVrAsoKKjxAvQjPRt0ai"
"Soul of Doctor (Theme) [From ""Doctor""]","Anirudh Ravichander","Soul of Doctor (Theme) [From ""Doctor""]","BGM","Playlist","INS172104021","6GFtWQYco30oKpMr5xJwy2"
"Enjoy Enjaami","Dhee","Enjoy Enjaami","BGM","Playlist","TCAFK2171359","1baHxgYktT8eDdmtTozJF9"
"Kaththi Theme… The Sword of Destiny","Anirudh Ravichander","Kaththi (Original Motion Picture Soundtrack)","BGM","Playlist","GBSGZ1400178","1m2PQa2vARopdOK8xGVkaX"
"Coño","Jason Derulo","Coño","BGM","Playlist","NLZ542001080","5DV4ZSCqbFv74ui3ZhimXo"
"Я буду ебать","Moreart","Я буду ебать","BGM","Playlist","FR26V2072992","3lFrFQcZWPLa8WEG7xoc4b"
"See Me Fall - Y2K Remix","Ro Ransom","Momentum (Mixtape)","BGM","Playlist","QM42K1602291","5MLreTrtwv7fGyyAy0RyeB"
"это ли счастье?","Rauf & Faik","это ли счастье?","BGM","Playlist","FR2X41945190","65cYA2DbCETUTylYI75HgP"
"Manavaalan Thug - From ""Thallumaala""","Dabzee","Thallumaala","BGM","Playlist","INM812200125","5u1cWcqIX6sbKiVJn8PR86"
"Дикая львица","ALEX&RUS","Дикая львица","BGM","Playlist","QM6N21999015","41btOpCqdHf5lBd4KAOcfB"
"Минимум - Ramzan Abitov Remix","Ямаджи","Минимум (Remix Pack)","BGM","Playlist","FR26V2065704","2l0IvRqDNGQ63FaImXlHx9"
"Chekuthan","Ribin Richard","Chekuthan","BGM","Playlist","INA982100009","5Zoe8tHOVTMOzeapdpQeYL"
"Bad Boy (feat. Luana Kiara)","Raaban","Bad Boy (feat. Luana Kiara)","BGM","Playlist","SEPQA1800300","64p6ua7zpf66s62StC2QLv"
"Scam 1992 Theme Music","Achint","Scam 1992 Theme Music","BGM","Playlist","INO132001729","3A04b0nJb2nAzGUw2rqDsI"
"Satisfya","Imran Khan","Satisfya","BGM","Playlist","GBB291300001","6HGoVbCUr63SgU3TjxEVj6"
"Chekuthan (Reprise)","Ribin Richard","Chekuthan (Reprise)","BGM","Playlist","INA982100391","6N0Z9weSdoXUzL0wbqQD4h"
"Dulquer Theme - Theme","Gopi Sundar","CIA - Comrade in America - Original Motion Picture Soundtrack","BGM","Playlist","INA981700008","75pwDDZoCxXaME1JvBIgwZ"
"Wishes","Hasan Raheem","Maybe, It's Love","Instagram Trending Songs 2024","Playlist","QZRP52317311","5rpCUsEfBLIumvrxrahnKF"
"Suniyan Suniyan","Juss","Suniyan Suniyan","Instagram Trending Songs 2024","Playlist","INC622214256","0XRb6eZE4dBIJdqwf1Mixu"
"Millionaire","Yo Yo Honey Singh","GLORY","Instagram Trending Songs 2024","Playlist","INS182402380","78BWCd70D1X6LMkDZm1UoF"
"Samjho Na","Aditya Rikhari","Samjho Na","Instagram Trending Songs 2024","Playlist","FR2X42205817","1d5lpW3gUyq537iuyrb9Lf"
"ჩუბინა","Chub1na.Ge","ჩუბინა","Instagram Trending Songs 2024","Playlist","QZRP52390918","0s6vEUEL2Ij2tXXGLvgmLi"
"Zaroor","Aparshakti Khurana","Zaroor","Instagram Trending Songs 2024","Playlist","INS172408732","5thVzD79BxlDTYy0LfHzvu"
"Alibi (with Pabllo Vittar & Yseult)","Sevdaliza","Alibi (with Pabllo Vittar & Yseult)","Instagram Trending Songs 2024","Playlist","NL47E2400004","5496lks6V3fh1mZAB6IAap"
"Softly","Karan Aujla","Making Memories","Instagram Trending Songs 2024","Playlist","CAW112300244","0YQJoDL6f46J0n1rOVkpxJ"
"Aaj Ki Raat (From ""Stree 2"")","Sachin-Jigar","Aaj Ki Raat (From ""Stree 2"")","Instagram Trending Songs 2024","Playlist","INH102409256","5AnWrUzsrFgBvhn6dUElnr"
"Espresso","Sabrina Carpenter","Espresso","Instagram Trending Songs 2024","Playlist","USUM72403305","2qSkIjg1o9h3YT9RAgYN75"
"Bye","Aditya Bhardwaj","Bye","Instagram Trending Songs 2024","Playlist","TCAGP2204116","0PGU5mcLncBYE8yuVpSwqA"
"Tauba Tauba (From ""Bad Newz"")","Karan Aujla","Tauba Tauba (From ""Bad Newz"")","Instagram Trending Songs 2024","Playlist","INH102408328","16kiQQ4BoLHDyj5W2fkfNK"
"nadaaniyan","Akshath","nadaaniyan","Instagram Trending Songs 2024","Playlist","INUM72400459","3bmsaFp11I9pbicxzlStf3"
"Save Me. - Sped Up","Tundra","Save Me.","Instagram Trending Songs 2024","Playlist","QZTBB2495971","7wnkg3bKkIS9sjQjX0kyFq"
"Naina (From ""Crew"")","Diljit Dosanjh","Naina (From ""Crew"")","Instagram Trending Songs 2024","Playlist","INT102400827","1eZefeDb8uOsjvcbl1fJrG"
"i like the way you kiss me","Artemas","i like the way you kiss me","Instagram Trending Songs 2024","Playlist","QZJ842400387","2GxrNKugF82CnoRFbQfzPf"
"Mortals","Warriyo","Mortals","Instagram Trending Songs 2024","Playlist","GB2LD0902603","3Fg5uhtWBlW0es8GSqQ6Ff"
"Aasa Kooda - From ""Think Indie""","Sai Abhyankkar","Aasa Kooda (From ""Think Indie"")","Instagram Trending Songs 2024","Playlist","INT202404685","0MTdYgTZ25sLCO6kVnDoje"
"Koi Si","Afsana Khan","Koi Si","Instagram Trending Songs 2024","Playlist","DGA062308239","26ku8sJ1rV2gQAEuNs38X6"
"Thank You God","Dhvani Bhanushali","Thank You God","Instagram Trending Songs 2024","Playlist","INH562400011","2GD8vxlR7YIgx2ko3Ntv2f"
"Paon Ki Jutti","Jyoti Nooran","Paon Ki Jutti","Instagram Trending Songs 2024","Playlist","INUM72400361","0TrsGqtFXMWCrF9pPMICY9"
"Choo Lo","The Local Train","Aalas Ka Pedh","Instagram Trending Songs 2024","Playlist","INO131301172","0rlLBWFFTQiOWi963SH9bb"
"One Love","Blue","One Love","Instagram Trending Songs 2024","Playlist","GBAAA0200939","2W5acFzXf5FrktecuD30Or"
"Gulabi Sadi","Sanju Rathod","Gulabi Sadi","Instagram Trending Songs 2024","Playlist","FR2X42446102","4ITtnvLQ6SOA8XhiqkLa24"
"Illuminati - From ""Aavesham""","Sushin Shyam","Illuminati (From ""Aavesham"")","Instagram Trending Songs 2024","Playlist","INT202404391","1kFNFsAZ4iZy4vjBEtT12I"
"favorite","Isabel LaRosa","favorite","Instagram Trending Songs 2024","Playlist","USRC12400507","3QJsSWa0Xo8MfaRn1gr4Be"
"Sadqay","Aashir Wajahat","Sadqay","Instagram Trending Songs 2024","Playlist","AEA182300061","2lX53kXvYnvpV8Vqfe4S7s"
"greedy","Tate McRae","greedy","Instagram Trending Songs 2024","Playlist","USRC12301932","3rUGC1vUpkDG9CZFHMur1t"
"Mere Mehboob Mere Sanam (From ""Bad Newz"")","Udit Narayan","Mere Mehboob Mere Sanam (From ""Bad Newz"")","Instagram Trending Songs 2024","Playlist","INH102408754","3yxUi5nDZSWcYKi1C2xmLd"
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Sachin-Jigar","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Instagram Trending Songs 2024","Playlist","INS182400341","2ceeTJAzKy295Fm0VsaXtE"
"Soulmate","Badshah","Ek Tha Raja","Instagram Trending Songs 2024","Playlist","INUM72400228","1tf2iody5iRLYYPDSBpzRc"
"SLAY!","Eternxlkz","SLAY!","Instagram Trending Songs 2024","Playlist","QM4TX2453776","67smGwuPEtA6GAfeweAVNO"
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")","Mohammad Faiz","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")","Instagram Trending Songs 2024","Playlist","INS172408686","34Fh4HXZmnuBdtgejWUZg2"
"BLUE","Billie Eilish","HIT ME HARD AND SOFT","Instagram Trending Songs 2024","Playlist","USUM72401996","2prqm9sPLj10B4Wg0wE5x9"
"Too Sweet","Hozier","Unheard","Instagram Trending Songs 2024","Playlist","IEACJ2300335","3HMY0r2BAdpasXMY8rseR0"
"Tadow","Masego","Lady Lady","Instagram Trending Songs 2024","Playlist","QM24S1703810","51rPRW8NjxZoWPPjnRGzHw"
"Pehle Bhi Main","Vishal Mishra","ANIMAL","Instagram Trending Songs 2024","Playlist","INS182303389","7yDHHVKLbvDmVw1XXhDDIO"
"Sajni (From ""Laapataa Ladies"")","Ram Sampath","Sajni (From ""Laapataa Ladies"")","Instagram Trending Songs 2024","Playlist","INS182400369","5zCnGtCl5Ac5zlFHXaZmhy"
"Chaleya","Anirudh Ravichander","Jawan","Instagram Trending Songs 2024","Playlist","INS182302348","3xMHXmedL5Rvfxmiar9Ryv"
"Satranga (From ""ANIMAL"")","Arijit Singh","Satranga (From ""ANIMAL"")","Instagram Trending Songs 2024","Playlist","INS182303075","3yHyiUDJdz02FZ6jfUbsmY"
"One Love","Shubh","One Love","Instagram Trending Songs 2024","Playlist","QMBZ92399156","5ZLkihi6DVsHwDL3B8ym1t"
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Mitraz","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Instagram Trending Songs 2024","Playlist","INS182400204","0M0ANKNzmM4Odd7FNKghzW"
"Azad Flow","RP Singh","Azad Flow","Instagram Trending Songs 2024","Playlist","USA2P2440842","0LfJnwfZhEP2I2j61M5vLd"
"Ishq","Faheem Abdullah","Lost;Found","Instagram Trending Songs 2024","Playlist","FR96X2451081","1hlbywc8Jhl1FFqJxAMabE"
"Big Dawgs","Hanumankind","Big Dawgs","Instagram Trending Songs 2024","Playlist","INUM72400563","0OA00aPt3BV10qeMIs3meW"
"Sweater Weather","The Neighbourhood","I Love You.","Instagram Trending Songs 2024","Playlist","USSM11300891","0cQVqPuHQP4KEwc7ZUQmj6"
"Roya Jab Tu (From ""Mr. And Mrs. Mahi"")","Vishal Mishra","Mr. And Mrs. Mahi (Original Motion Picture Soundtrack)","Instagram Trending Songs 2024","Playlist","INS172408785","0IKoHIQ1CshjtvYIOu5hwB"
"SARTAJ","TRAKFACE A3KPR","SARTAJ","Instagram Trending Songs 2024","Playlist","ATEK02356130","6hKsZeVntcifNv5N14jXPr"
